from,total_eth
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,17.318434265698027
0x3001f6f2187d875a1bc24b10fe9616ebcaf4fb45,3.805458941308652
0x0000b8e312942521fb3bf278d2ef2458b0d3f243,1.415879143750018
0x6dd91bdab368282dc4ea4f4befc831b78a7c38c0,1.2241469774556586
0x26ccc3a2052be5898d60683c7bb621047153bb19,1.084147064823264
0x8899e36cb10b339f4823ec48bdf310909da9f99f,0.7097840497437341
0xdc1cb32760070af789c9c2a105d5cdff8e5d3584,0.6468271002280013
0x6fef3e24fa43d4e1be34e4d0b66c85176ff3a3b2,0.6364521362850841
0x33b279a7b0a21258ac210d126bcbc168facefa00,0.5904591691598299
0x758e8229dd38cf11fa9e7c0d5f790b4ca16b3b16,0.5890183622468425
0x5fd9a3abd0a478716d4b5d8a1b372dad07c50c43,0.588910247824017
0xfe29cfef0abadb0aff328f97e6ba0766d59fa3b1,0.5764265872068285
0xb720c31d4cf1c730f21f6e59aa20fc65bdb7acf6,0.530804141771898
0x4c6d22c74d6bdb72f3dd4ac55f440f049f799f2a,0.5188148412389554
0x77895a012b6514bf714b415ba5bba3ca32257690,0.5187115987454687
0x8f3ebcd4eb647b4ccc20a0928dcf366d4e001986,0.517719047047774
0x262aeedeec896b51ce5f978052985d4a49c5be90,0.49017406045388606
0x49bdcd1ce46253c497c03bd8faac986ea63e11fc,0.4674181810803528
0x000013de30d1b1d830dcb7d54660f4778d2d4af5,0.46418258630113785
0xea2d1a3caaef0504666d5f9464a8df78b9364c10,0.4553011395762932
0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.43687551102317257
0xf9cafeb32467994e3affd61e30865e5ab32abe68,0.42764769352025933
0x30af149da20ef93fa5b16741a9d05041ea18995a,0.42592229087665057
0x7594f15d27b58c04b82c3891e6f5f4488b2006e0,0.41034094859227976
0xe78d27326f1a6f1f6ba6ad5e1b24a3added2791a,0.4070284570861133
0x32016d901e453fa1404ef7ba20b4b97c2745391a,0.40553967382703826
0x19b59bc714e66aa0cc6c2e3179d8866af40f9466,0.4027685389363384
0xad1a704da0eecc63dbe0f4fa82557df0182b047e,0.3969803489036871
0xd291d156700f87c65c24cc586c1bbde142c418bb,0.39464889483115906
0xb2681ea42dc5b0a7497ab200ce5bc0bea9029f5a,0.383946385560859
0x67d9b8ebe3941364990ffa1ccb92739289b06d88,0.3698058712615537
0xc5759e9681d4f7ba74c86015667ba805afdc14ad,0.36750874598499156
0x6a087212b8b9fed39e0874bd37a5236236ee8acd,0.36574187884792303
0xed888e2713b9c4d1536ff48765e0c99b2bf03877,0.3630034602382754
0xdf26840a213501c3b95b3602ae968b37476c9b63,0.36156365693536235
0x05abb273a7685a364a192050084cba58fe84c210,0.35828246181380186
0xcc8efeb2a5f50c81c5d7403676b198ae094b2f3c,0.3556194970906686
0xae3e1eb989266a0bbef9a47a4820fca407aabcd6,0.35557053044723874
0x1d2b198a5cba8d72fb06ab781f8da43e2d057cd5,0.3509156074167362
0x0a6ac2507e3f17fdc24199df2131a136b566bed3,0.3503214849853234
0x1fe18a4b172a86f877f451af37f5e21692b741f2,0.34460145817317
